사번,상급자 사번,성명,본부,처,부,직종명,직급명,직급,만나이,보직명,주요업무,최종학력,법인임용일,퇴직예정일,발령정보,포상이력,자격면허,징계이력,휴직이력
435855,301521,장규민,본부,교무처,학사관리팀,행정직,,8급,,,"수강신청 운영, 강사료, 교원 시수관리, 강좌 개설관리",대학졸업,2020.12.01,2054.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 43개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.61) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 기술거래사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
305154,root,임영석,서울아산병원,의과대학,,,,,,의과대학장,,,,,,,,,
303130,305154,이현민,서울아산병원,의과대학,의과대학 교학행정국,행정직,,3급,,의과대학 교학행정국장,의대 교학행정국 업무 총괄,대학졸업,1995.01.01,2028.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 45개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.61) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
332851,305154,김하원,서울아산병원,의과대학,교육지원팀,행정직,,4급,,의과대학 교학행정국 교육지원팀장,"학사학생팀총괄(학사, 입시, 학생), 학사 계획, 학칙 및 규정관리, 교육위원회 및 교수개발 교육과정 관련, 교육과정 개편 관련 업무",대학원(박사)졸업,1996.09.01,2031.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 46개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.62) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 변호사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
205467,305154,조상석,서울아산병원,의과대학,행정지원팀,행정직,,5급,,의과대학 교학행정국 행정지원팀장,"의과대학 행정지원 업무총괄, 의과학대학원 행정지원 업무총괄",대학원(석사)졸업,1994.10.01,2033.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 47개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.63) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 변호사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
354147,305154,이승윤,서울아산병원,의과대학,교수지원팀,행정직,,5급,,의과대학 교학행정국 교수지원팀장,"의대 기획 업무, 의대 조직편제 관리, 의대 교원인사위원회, 의대 주관 회의, 행사(교수세미나,정년식,학위수여식 등",대학졸업,2010.02.01,2044.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 48개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.64) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
205333,305154,정태진,서울아산병원,의과대학,의학과,행정직,,5급,,,"시신기증상담수증업무, 해부실습실험업무, 임상해부실습업무, 해부실습실관리업무, 시신화장유족전달업무",대학졸업,1994.03.01,2027.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 49개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.65) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 정보처리기사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
354136,305154,양진용,서울아산병원,의과대학,행정지원팀,행정직,,6급,,,"대학원 의학과, 교과과정/수업/입시/논문심사/장학, 의학과 실험실습비/대학원 위원회 관리, 대학원 규정 및 지침 기획 및 관리, 대학원 의과학과 지원",대학졸업,2010.02.01,2040.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 50개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.66) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 기술거래사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
378064,305154,이정현,서울아산병원,의과대학,교육지원팀,행정직,,6급,,,"학생지도 및 상벌, 학생장학, 학생해외연수, 학생복지",대학졸업,2014.03.01,2047.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 51개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.67) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
378075,305154,신은지,서울아산병원,의과대학,교수지원팀,행정직,,6급,,,"의대 예산, 지출, 의대 교육평가인증자체평가, 의대 연말정산, 의대 사학연금, 건강보험, 의대 교직원공제회",대학졸업,2014.03.01,2049.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 52개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.68) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
401409,305154,박용상,서울아산병원,의과대학,교육지원팀,행정직,,7급,,,"의학과 2, 3, 4학년 학사관리, 임상실습 계획 및 운영, 임상실습위원회 관련 업무",대학졸업,2017.05.01,2048.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 53개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.69) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 변호사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
416797,305154,최원준,서울아산병원,의과대학,교수지원팀,행정직,,7급,,,"교육시설 관리, 의대 홍보, 병원 투자예산, 연구실 안전관리 및 LMO 담당, 자산관리",대학졸업,2019.06.01,2054.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 54개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.70) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 변호사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
438050,305154,조아연,서울아산병원,의과대학,교육지원팀,행정직,,8급,,,"의과대학 입학사정관, 입학전형 분석 및 평가, 전형운영, 입시홍보, 입학상담, 입학관리위원회/워크숍 운영",대학원(석사)졸업,2021.03.01,2044.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 55개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.71) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
459031,305154,김미성,서울아산병원,의과대학,교육지원팀,행정직,,8급,,,의예과2학년 학사업무,대학졸업,2023.06.01,2059.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 56개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.72) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 정보처리기사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
416786,305154,정원업,서울아산병원,의과대학,교수지원팀,행정직,,8급,,,"전임교원 임면, 전임교원 복무관리 및 보직 임면, 교원 업적평가, 비전임교원 임면",대학졸업,2019.06.01,2052.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 57개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.73) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 기술거래사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
471215,305154,박민희,서울아산병원,의과대학,행정지원팀,행정직,,9급,,,"아산의학관 시설관리, 소방,산업안전,폐기물, 아산의학관 전산,자산관리",대학원(석사)졸업,2025.01.01,2056.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 58개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.74) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
479134,305154,박민경,서울아산병원,의과대학,행정지원팀,행정직,,9급,,,"부속병원 교원 인사 지원, 의대발전기금, 의학교육평가인증",대학졸업,2025.09.01,2059.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 59개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.75) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
470225,305154,이주연,서울아산병원,의과대학,교육지원팀,행정직,,9급,,,의학과 1학년 학사업무,대학졸업,2024.09.01,2059.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 60개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.76) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 정보처리기사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
471204,305154,최현민,서울아산병원,의과대학,교육지원팀,행정직,,9급,,,"의예과 1학년 학사관리, 의학과 1학년 학사관리",대학원(석사)졸업,2025.01.01,2052.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 61개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.77) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 기술거래사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
480170,305154,김광영,서울아산병원,의과대학,교육지원팀,행정직,,9급,,,,대학졸업,2025.12.01,2057.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 62개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.78) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
338026,root,허승현,특수법인,산학협력단,,,,,,산학협력단장,,,,,,,,,
205546,338026,박재일,특수법인,산학협력단,산학협력팀,행정직,,4급,,산학협력팀장,"산학자산운영팀 업무 총괄, 중소기업산학협력센터 행정팀장, 창업지원팀 업무 총괄, 기술지주회사 팀장",대학원(석사)졸업,1996.05.01,2030.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 64개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.78) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
332840,338026,손수헌,특수법인,산학협력단,의학연구지원팀,행정직,,4급,,의학연구지원팀장,"연구지원팀 업무 총괄, 의대 대학원 업무 총괄, 임상전문간호학 제반업무, 간접비 예산 수립 및 집행통제",대학졸업,1993.10.01,2029.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 65개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.79) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 정보처리기사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
341895,338026,조동성,특수법인,산학협력단,연구기획팀,행정직,,5급,,연구기획팀장,"연구기획팀 업무총괄, 연구보안관리, BK21사업비 집행 통제",대학졸업,2007.06.01,2033.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 66개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.80) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 기술거래사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
312073,338026,김명한,특수법인,산학협력단,연구기획팀,행정직,,5급,,,"산학협력단 인사?노무 정책 기획, 산학협력단 인사 및 복무 관리, 산학협력단 급여, 산학협력단 인사, 총무전산시스템 운영",대학졸업,2005.03.01,2038.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 67개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.81) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
323008,338026,박정욱,특수법인,산학협력단,산학협력팀,행정직,,5급,,,,대학졸업,2007.05.01,2042.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 68개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.82) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
367455,338026,목현수,특수법인,산학협력단,의학연구지원팀,행정직,,6급,,,"보건복지부(KHIDI) 사업, 범부처 사업, 국립암센터/국립의료원 사업, 한국연구재단(과기부) 전략 사업",대학졸업,2011.12.01,2043.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 69개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.83) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 정보처리기사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
438072,338026,강원용,특수법인,산학협력단,의학연구지원팀,행정직,,8급,,,"한국연구재단(기초연구), 한국연구재단(MRC), 수탁연구교원 인사, 계약직원 인사, 연구소 관련",대학졸업,2021.03.01,2047.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 70개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.84) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 기술거래사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
476120,338026,박의진,특수법인,산학협력단,연구기획팀,행정직,,9급,,,"한국에너지기술평가원, 학생인건비통합관리(부), 사업기구관리",대학원(석사)졸업,2025.06.01,2059.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 71개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.85) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
476131,338026,김아영,특수법인,산학협력단,의학연구지원팀,행정직,,9급,,,"연구업적관리, 논문게재장려금, 한국연구재단(교육부), 연구윤리",대학졸업,2025.06.01,1961.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 72개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.86) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 정보처리기사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
